indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,nosex12m,sexcohab,sexnonreg,sexpaid12m,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,male,Y015_049,285,1504,764.6368794693672,0.2445754213490726,0.01504337059199942,0.21630334885356237,0.2752449669692526
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,male,Y015_049,238,601,348.58000332826924,0.11850658903724798,0.01685988018588168,0.08923761266210496,0.1557339577027296
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,male,Y015_049,290,1694,915.837184901737,0.17445131338063044,0.01440442356472924,0.147992393809836,0.20450526435829067
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,male,Y015_049,193,411,197.21515661749305,0.35045358895350204,0.03539738523749533,0.28458710649966523,0.4225603778609599
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,male,Y015_049,275,1046,563.754984894287,0.2046722007382348,0.01793775532043789,0.17174311689763772,0.24206967628987097
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,male,Y015_049,279,1059,549.3262407712635,0.2070050663092179,0.01885136430288771,0.17247958387912748,0.24638389489712703
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,male,Y015_049,292,2074,1096.1502330211376,0.20545481218913583,0.01311653057007612,0.18093491229379255,0.23235494901831377
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,male,Y015_049,31,31,17.152666026875025,0.2271757979849336,0.0954896185092516,0.09192633801910616,0.4605032208288052
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,male,Y015_049,293,2378,1270.011192677841,0.1933450439201277,0.0121542957200893,0.17063110142678076,0.21828679906786191
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,male,Y015_024,189,330,172.9328282133831,0.03964988072459853,0.01454986424780166,0.01914974882776226,0.08029912388792146
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,male,Y015_024,200,430,251.1266510686461,0.05389263180196228,0.01464154542266776,0.03142638439833716,0.09091216456191782
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,male,Y015_024,256,742,409.31203009468777,0.0460376934835032,0.0122676461992199,0.02715564888965201,0.07700962901504557
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,male,Y015_024,16,18,12.715912703429222,0.11255419688212392,0.0843519585255896,0.02365892352155273,0.3989712132409984
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,male,Y015_024,209,455,267.2924063808716,0.05551277751188867,0.0143236907920889,0.03326325614270004,0.09124021620555715
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,male,Y015_024,181,305,158.1511703171632,0.03646720476611228,0.01493493522602347,0.01618640080878859,0.0800902589912937
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,male,Y015_024,258,753,417.2220114596868,0.04779771430012043,0.01217853992571702,0.02885330045323598,0.07817927309772109
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,male,Y015_024,7,7,4.643587773098772,0,0,NA,NA
